"ItemNumber","ItemName","OpeningBid","ItemValue","BidIncrement"
"201","A Long Weekend on Lake George in the Adirondacks!",600,1500,50
"202","The Bunker Hill Inn - Bed and Breakfast, Salem, NY Two-Night Stay for Two",100,230,20
"203","Intercontinental New York Barclay Hotel",500,1200,25
"204","Intercontinental New York Times Square Hotel #1",450,1000,50
"205","Intercontinental New York Times Square Hotel #2",450,1000,50
"206","Orlando Hilton Resort - One-Week Stay",900,2000,50
"207","One-week, seven-night stay at La Mourrade in Provence, France, for up to 10 people.",3500,7000,500
"208","One Week Stay in Key Largo Condo!",1500,3300,100
"209","One week, seven nights, Naples Florida Getaway!",1000,2500,100
"210","Weekend (two night) stay at the Delavan Hotel, Buffalo, New York",250,750,25
"301","Veuve Cliquot Champagne Brut with Flutes",50,120,10
"302","Veuve Cliquot Champagne Brut Rosé with flutes",50,120,10
"303","Crate of 6 select wines! #1",80,170,10
"304","Willett Pot Still Reserve Bourbon with glasses",60,115,10
"305","Portuguese Wine Assortment - Case NLC Wines",125,300,20
"306","Bourbon Tasting",70,200,10
"307","Crate of 6 Select Wines! #2",65,170,10
"308","Rosé Tasting",25,60,5
"309","Three Bottles of Wine from Niagara County, New York - Plus, Watson's famous chocolates!",50,150,10
"310","Two bottles of Veuve Cliquot Champagne",75,160,10
"311","Four bottles of Chardonay",40,100,10
"312","Two bottles of Emporia Wine",35,85,10
"313","Wines from Ancient Illyria",30,80,10
"314","Four bottles of Foris Pinot Noir",45,120,10
"315","Six bottles of Rosé",50,120,10
"401","The Horse and Hound Restaurant #1",50,100,10
"402","The Horse and Hound Restaurant #2",50,100,10
"403","Le Bernardin Gift Card",150,400,25
"404","Lincoln Ristorante",100,300,25
"405","Tea at the Palm Court in the Plaza Hotel",75,200,10
"501","American Ballet Tickets for two",75,220,10
"502","American Symphony Orchestra",50,130,10
"503","Caramoor Tickets",60,220,10
"504","Cecilia Chorus of New York - Mark Shapiro, Conductor",25,180,10
"505","Metropolitan Opera Tickets for Two",300,750,25
"506","Music Before 1800",60,120,10
"507","Orchestra Lumos",125,364,25
"508","Parthenia Viol Consort - Season Tickets",75,270,10
"509","Two tickets to one concert of Orchestra of St. Luke's Bach Festival",50,170,10
"510","Ridgefield Symphony Orchestra Tickets",50,120,10
"511","Concerts at Saint Thomas",80,240,10
"512","Two Premium tickets to NY Polyphony's 20th Anniversary Concert",50,150,10
"513","Musica Sacra",75,200,10
"514","The Symphony of Westchester Tickets",95,440,20
"515","Chamber Music Society of Lincoln Center",65,160,10
"516","Broadway Show!",150,300,20
"517","Two tickets to the 2026 Bard Music Festival.",75,200,10
"518","Metropolitan Opera Tickets, Two tickets to Turandot By Puccini",230,460,20
"601","Golf Outing",150,400,20
"602","Four Tickets to a New York Yankees Game!",250,500,25
"603","Two Tickets to a New York Yankees Game!",250,500,25
"604","Four tickets to a New York Yankees Game!",300,600,25
"701","Katonah Art and Frame Gift Card",35,150,10
"702","Exquisite Peacock Needlepoint",175,500,20
"703","Pet Portrait",150,400,20
"704","Watercolor of the English countryside painted by Tess Dennis.",200,450,20
"705","Antique French Pressed Herbs, Framed.",50,150,10
"801","20"" Portrait by Bradford Portraits with Travel Package",300,5000,25
"802","Lessons in Breathing Coordination - Three 60 Minute Lessons",150,500,20
"803","Confidential Consultation with Bennett Pologe, Ph.D.",90,275,10
"804","Gossett Brothers Nursery Gift Card",50,150,10
"805","Historic Hudson Valley Family Membership",65,195,10
"806","Study with the Maestro and receive a copy of his autobiography",150,420,20
"807","90 Minutes of your choice Massage!",75,225,10
"808","Two 60 minute voice lessons with Ellen Taylor Sisson, Soprano",100,300,25
"809","Voice Lesson or Coaching",75,150,25
"810","Tour of the Aaron Copland Historic Landmark home!",40,100,10
"811","Mary Mogil Fitness",110,330,20
"812","James Bassi - Piano or Composition Lesson",75,200,10
"813","Private Theory or Composition Lesson with Ramin Amir Arjomand.",75,200,10
"814","Organ Lesson",75,200,10
"901","Orchid",35,35,0
"902","Orchid",35,35,0
"903","Orchid",35,35,0
"904","Orchid",35,35,0
"905","Orchid",35,35,0
"906","Orchid",35,35,0
"907","Orchid",35,35,0
"908","Orchid",35,35,0
"909","Orchid",35,35,0
"910","Orchid",35,35,0
"911","Orchid",35,35,0
"912","Orchid",35,35,0
